,Class_ID,PL_TOTAL,OPT_PREMIUM,COMMISSION,CLEARING_FEE,EXCHANG_EFE,BROKERAGE_FEE,GIVEUP_FEE,FLR_FEE,WIR_FEE,Total_Fees,MOTE_PREV,MSOV_PREV,MLOV_PREV,MLQVAL_PREV,MOTE,MSOV,MLOV,MLQVAL,UNREALISED,TRD_RESULT_DIFF,Prev_Bal,Bal,TRD_RESULT,Final
154,ARB01400_EUR,0.0,0.0,-185.4,0.0,0.0,0.0,0.0,0.0,0.0,-185.4,0.0,0.0,0.0,-77.7,0.0,0.0,0.0,-263.1,0.0,-185.4,-77.7,-263.1,-185.40000000000003,2.842170943040401e-14
155,ARB01400_GBP,0.0,0.0,0.0,-679.8,-284.28,0.0,0.0,0.0,0.0,-964.0799999999999,0.0,0.0,0.0,-404.04,0.0,0.0,0.0,-1368.12,0.0,-964.0799999999999,-404.04,-1368.12,-964.0799999999999,0.0
156,ARB01400_USD,14451.199999999997,0.0,-468.45,-365.40000000000003,-5449.92,0.0,0.0,0.0,0.0,-6283.77,-7740.8,0.0,0.0,1345.82,-9303.0,0.0,0.0,7951.05,-1562.1999999999998,6605.229999999997,1345.82,7951.05,6605.2300000000005,-3.637978807091713e-12
157,ARB01417_EUR,0.0,0.0,-95.39999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-95.39999999999999,0.0,0.0,0.0,-132.6,0.0,0.0,0.0,-228.0,0.0,-95.39999999999999,-132.6,-228.0,-95.4,1.4210854715202004e-14
158,ARB01417_GBP,1060.0,0.0,0.0,-349.8,-149.2,0.0,0.0,0.0,0.0,-499.0,0.0,0.0,0.0,898.14,0.0,0.0,0.0,1459.14,0.0,561.0,898.14,1459.14,561.0000000000001,-1.1368683772161603e-13
159,ARB01417_USD,-11595.1,0.0,-1851.3,-4306.8,-12854.24,0.0,0.0,0.0,0.0,-19012.34,246.4,0.0,0.0,-4108.5,3530.0,0.0,0.0,-31432.34,3283.6,-27323.840000000004,-4108.5,-31432.34,-27323.84,-3.637978807091713e-12
160,ARB01445_EUR,-22900.0,0.0,-849.9,0.0,0.0,0.0,0.0,0.0,0.0,-849.9,-33637.5,0.0,0.0,-630.4,3237.5,0.0,0.0,12494.7,36875.0,13125.099999999999,-630.4,12494.7,13125.1,-1.8189894035458565e-12
161,ARB01445_GBP,14500.0,0.0,0.0,-1799.04,-548.4000000000001,0.0,0.0,0.0,0.0,-2347.44,-2812.5,0.0,0.0,-11019.76,-16925.0,0.0,0.0,-12979.7,-14112.5,-1959.9400000000005,-11019.76,-12979.7,-1959.9400000000005,0.0
162,ARB01457_CAD,5490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4720.0,0.0,0.0,336.0,962.0,0.0,0.0,2068.0,-3758.0,1732.0,336.0,2068.0,1732.0,0.0
163,ARB01457_USD,11640.0,0.0,-55.05,-81.0,-365.0,0.0,0.0,0.0,0.0,-501.05,-455.0,0.0,0.0,3846.97,-250.0,0.0,0.0,15190.92,205.0,11343.95,3846.97,15190.92,11343.95,0.0
164,ARB01458_CAD,27288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3406.0,0.0,0.0,7100.0,-24200.0,0.0,0.0,6782.0,-27606.0,-318.0,7100.0,6782.0,-318.0,0.0
165,ARB01458_USD,439085.0,0.0,-685.65,-1862.4,-3562.3199999999997,0.0,0.0,0.0,0.0,-6110.37,404635.0,0.0,0.0,100785.34,-23120.0,0.0,0.0,106004.97,-427755.0,5219.630000000005,100785.34,106004.97,5219.630000000005,0.0
166,ARB01466_CAD,1924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,-1494.0,0.0,0.0,0.0,390.0,-40.0,1884.0,-1494.0,390.0,1884.0,0.0
167,ARB01466_USD,-390.0,0.0,-62.1,0.0,-521.9000000000001,0.0,0.0,0.0,0.0,-584.0000000000001,0.0,0.0,0.0,188.0,0.0,0.0,0.0,-786.0,0.0,-974.0000000000001,188.0,-786.0,-974.0,-1.1368683772161603e-13
168,ARB01472_CAD,1220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6318.0,0.0,0.0,0.0,-5098.0,0.0,1220.0,-6318.0,-5098.0,1220.0,0.0
169,ARB01472_USD,70.0,0.0,-30.0,0.0,-380.0,0.0,0.0,0.0,0.0,-410.0,0.0,0.0,0.0,-191.0,0.0,0.0,0.0,-531.0,0.0,-340.0,-191.0,-531.0,-340.0,0.0
170,ARB01476_USD,-27697.4,0.0,-158.85,0.0,-2223.9,0.0,0.0,0.0,0.0,-2382.75,-23515.0,0.0,0.0,-1688.75,-5640.4,0.0,0.0,-13894.3,17874.6,-12205.550000000003,-1688.75,-13894.3,-12205.55,-3.637978807091713e-12
171,ARB01602_USD,-81.25,0.0,-0.6,0.0,-1.36,0.0,0.0,0.0,0.0,-1.96,0.0,0.0,0.0,41.99,0.0,0.0,0.0,-41.22,0.0,-83.21,41.99,-41.22,-83.21000000000001,1.4210854715202004e-14
172,ARB01606_USD,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,-166.98,0.0,0.0,0.0,-167.08,0.0,-0.1,-166.98,-167.08,-0.10000000000002274,2.273181642920008e-14
173,ARB02012_USD,-869497.5,752119.5,-5438.400000000001,0.0,-13526.12,0.0,0.0,0.0,0.0,-18964.52,0.0,0.0,265.0,292741.39,-1200.0,0.0,0.0,154933.87,-1465.0,-137807.52000000002,292741.39,154933.87,-137807.52000000002,0.0
174,ARB02040_USD,-1671.8,0.0,-83.7,0.0,-133.92000000000002,0.0,0.0,0.0,0.0,-217.62,187.52,0.0,0.0,21997.02,1249.95,0.0,0.0,21170.03,1062.43,-826.99,21997.02,21170.03,-826.9900000000016,1.5916157281026244e-12
175,ARB02043_USD,-236535.32,0.0,-1657.2,0.0,-4249.71,0.0,0.0,0.0,0.0,-5906.91,-130060.26,0.0,0.0,1889751.98,95052.55,0.0,0.0,1872422.56,225112.81,-17329.420000000013,1889751.98,1872422.56,-17329.419999999925,-8.731149137020111e-11
176,ARB02044_USD,231577.16,0.0,-1295.4,0.0,-2072.64,0.0,0.0,0.0,0.0,-3368.04,6375.44,0.0,0.0,-106945.28,0.0,0.0,0.0,114888.4,-6375.44,221833.68,-106945.28,114888.4,221833.68,0.0
177,ARB02045_USD,-9640.69,0.0,-22.5,0.0,-36.0,0.0,0.0,0.0,0.0,-58.5,921.9,0.0,0.0,24474.77,0.0,0.0,0.0,13853.68,-921.9,-10621.09,24474.77,13853.68,-10621.09,0.0
178,ARB02047_USD,57153.0,0.0,-594.0,0.0,-1150.03,0.0,0.0,0.0,0.0,-1744.03,-41012.0,0.0,0.0,14048.95,-100889.5,0.0,0.0,9580.42,-59877.5,-4468.529999999999,14048.95,9580.42,-4468.530000000001,1.8189894035458565e-12
179,ARB02052_USD,-39052.75,0.0,-129.29999999999998,0.0,-90.08,0.0,0.0,0.0,0.0,-219.38,0.0,0.0,0.0,8877.42,0.0,0.0,0.0,-30394.71,0.0,-39272.13,8877.42,-30394.71,-39272.13,0.0
180,ARB02055_USD,-8637.01,1582.5,-222.9,0.0,-549.24,0.0,0.0,0.0,0.0,-772.14,-2614.2,-34040.0,33787.5,4157.05,6110.96,-45095.0,44540.0,4753.06,8422.659999999996,596.0099999999966,4157.05,4753.06,596.0100000000002,-3.637978807091713e-12
181,ARB02076_USD,10663.419999999998,-875.0,-52617.0,0.0,-54850.11,0.0,0.0,0.0,0.0,-107467.11,2025.23,0.0,625.0,-170443.27,11041.11,0.0,0.0,-259731.08,8390.880000000001,-89287.81,-170443.27,-259731.08,-89287.81,0.0
182,ARB02102_USD,-8552.5,0.0,-648.3,0.0,-2208.42,0.0,0.0,0.0,0.0,-2856.7200000000003,-2397.5,0.0,0.0,7609.8,6597.5,0.0,0.0,5195.58,8995.0,-2414.220000000001,7609.8,5195.58,-2414.2200000000003,-9.094947017729282e-13
183,ARB02103_USD,0.0,46230.0,-1261.35,0.0,-5711.62,0.0,0.0,0.0,0.0,-6972.969999999999,0.0,-537300.0,524100.0,-55884.88,0.0,-202025.0,220080.0,14627.15,31255.0,70512.03,-55884.88,14627.15,70512.03,0.0
184,ARB02116_USD,10834.75,0.0,-313.65,0.0,-1218.31,0.0,0.0,0.0,0.0,-1531.96,-58225.0,0.0,0.0,5883.65,-78711.0,0.0,0.0,-5299.56,-20486.0,-11183.21,5883.65,-5299.56,-11183.21,0.0
185,ARB02118_USD,4580.0,0.0,-453.9,0.0,-1694.56,0.0,0.0,0.0,0.0,-2148.46,282.0,0.0,0.0,23.0,-450.0,0.0,0.0,1722.54,-732.0,1699.54,23.0,1722.54,1699.54,0.0
186,ARB02121_USD,22.870000000000005,0.0,-204.60000000000002,0.0,-268.0,0.0,0.0,0.0,0.0,-472.6,-270.91,0.0,0.0,-67060.33,1062.5,0.0,0.0,-66176.65,1333.41,883.6800000000001,-67060.33,-66176.65,883.6800000000076,-7.503331289626658e-12
