,DONOTIMPORT,JOURNAL,DATE,REVERSEDATE,DESCRIPTION,REFERENCE_NO,SOURCEENTITY,LINE_NO,ACCT_NO,LOCATION_ID,DEPT_ID,GLENTRY_CLASSID,GLENTRY_PROJECTID,DOCUMENT,MEMO,DEBIT,CREDIT,CURRENCY,EXCH_RATE_DATE,EXCH_RATE_TYPE_ID,EXCHANGE_RATE,GLENTRY_CUSTOMERID,GLENTRY_VENDORID,GLENTRY_EMPLOYEEID,GLENTRY_ITEMID,ALLOCATION_ID
891,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D21300,ARB03362_GBP,,,,,7525.0,,,,,C03062,,,,
892,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D21300,ARB03362_USD,,,,,37800.0,,,,,C03062,,,,
893,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D21300,ARB03364_EUR,,,,0.0,,,,,,C03064,,,,
894,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D21300,ARB03364_GBP,,,,0.0,,,,,,C03064,,,,
895,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D21300,ARB03372_USD,,,,,1315.2,,,,,C03072,,,,
896,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D21300,ARB03373_USD,,,,146.7,,,,,,C03073,,,,
897,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D21300,ARB03378_USD,,,,,38130.0,,,,,C03078,,,,
898,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03400_EUR,,,,0.0,,,,,,C03100,,,,
899,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03400_GBP,,,,,690.0,,,,,C03100,,,,
900,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03400_USD,,,,4398.75,,,,,,C03100,,,,
901,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23080,ARB03402_EUR,,,,0.0,,,,,,C03102,,,,
902,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23080,ARB03402_GBP,,,,100.0,,,,,,C03102,,,,
903,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23080,ARB03402_USD,,,,225.59999999999854,,,,,,C03102,,,,
904,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03403_CAD,,,,,5844.0,,,,,CX3103,,,,
905,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03403_USD,,,,,27704.2,,,,,CX3103,,,,
906,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03404_CAD,,,,,84.0,,,,,C03104,,,,
907,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03404_EUR,,,,0.0,,,,,,C03104,,,,
908,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03404_GBP,,,,,180.0,,,,,C03104,,,,
909,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03404_USD,,,,,4178.899999999998,,,,,C03104,,,,
910,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03405_CAD,,,,686.0,,,,,,C00310,,,,
911,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03405_EUR,,,,0.0,,,,,,C00310,,,,
912,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03405_GBP,,,,,16050.0,,,,,C00310,,,,
913,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03405_USD,,,,,161224.5,,,,,C00310,,,,
914,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03406_CAD,,,,4616.0,,,,,,C00310,,,,
915,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03406_EUR,,,,0.0,,,,,,C00310,,,,
916,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03406_GBP,,,,4040.0,,,,,,C00310,,,,
917,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03406_USD,,,,,18752.559999999998,,,,,C00310,,,,
918,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03407_USD,,,,,40050.0,,,,,C03107,,,,
919,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03408_CAD,,,,6472.0,,,,,,C00311,,,,
920,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03408_EUR,,,,0.0,,,,,,C00311,,,,
921,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03408_GBP,,,,,710.0,,,,,C00311,,,,
922,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03408_USD,,,,,500920.25,,,,,C00311,,,,
923,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03409_EUR,,,,0.0,,,,,,C00311,,,,
924,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03409_GBP,,,,,5000.0,,,,,C00311,,,,
925,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03409_USD,,,,,21678.6,,,,,C00311,,,,
926,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03410_USD,,,,,96050.0,,,,,C00311,,,,
927,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03412_EUR,,,,0.0,,,,,,C00310,,,,
928,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03412_GBP,,,,0.0,,,,,,C00310,,,,
929,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03412_USD,,,,,42856.200000000004,,,,,C00310,,,,
930,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03413_USD,,,,,1350.0,,,,,C03113,,,,
931,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03422_CAD,,,,,1550.0,,,,,C03122,,,,
932,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03422_USD,,,,,1921.25,,,,,C03122,,,,
933,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23080,ARB03427_USD,,,,,22.400000000000006,,,,,C01234,,,,
934,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03433_EUR,,,,0.0,,,,,,C03133,,,,
935,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03433_GBP,,,,,200.0,,,,,C03133,,,,
936,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03433_USD,,,,,10582.05,,,,,C03133,,,,
937,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03434_USD,,,,,2498.7999999999997,,,,,C03134,,,,
938,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03435_USD,,,,,305.0,,,,,C00310,,,,
939,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03436_CAD,,,,,970.0,,,,,CX3136,,,,
940,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03436_EUR,,,,0.0,,,,,,CX3136,,,,
941,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03436_GBP,,,,460.0,,,,,,CX3136,,,,
942,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03436_USD,,,,,3168.0,,,,,CX3136,,,,
943,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03439_USD,,,,,119592.5,,,,,C00311,,,,
944,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03441_EUR,,,,875.0,,,,,,C03141,,,,
945,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03441_GBP,,,,625.0,,,,,,C03141,,,,
946,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03442_USD,,,,,3945.0,,,,,C00310,,,,
947,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03443_CAD,,,,908.0,,,,,,C00310,,,,
948,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03443_EUR,,,,0.0,,,,,,C00310,,,,
949,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03443_GBP,,,,,500.0,,,,,C00310,,,,
950,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03443_USD,,,,,8945.0,,,,,C00310,,,,
951,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03446_EUR,,,,0.0,,,,,,CX3136,,,,
952,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03446_GBP,,,,,680.0,,,,,CX3136,,,,
953,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB03446_USD,,,,,848.0999999999999,,,,,CX3136,,,,
954,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23090,ARB03454_EUR,,,,125.0,,,,,,C03154,,,,
955,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23090,ARB03454_GBP,,,,0.0,,,,,,C03154,,,,
956,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23090,ARB03454_USD,,,,,990.0,,,,,C03154,,,,
957,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23100,ARB03457_EUR,,,,,887.5,,,,,C03157,,,,
958,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23100,ARB03457_GBP,,,,375.0,,,,,,C03157,,,,
959,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23100,ARB03457_USD,,,,,1106.6000000000004,,,,,C03157,,,,
960,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23100,ARB03459_CHF,,,,687.5,,,,,,C03159,,,,
961,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23100,ARB03459_EUR,,,,,1825.0,,,,,C03159,,,,
962,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23100,ARB03459_GBP,,,,525.0,,,,,,C03159,,,,
963,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23100,ARB03459_USD,,,,1149.0,,,,,,C03159,,,,
