,DONOTIMPORT,JOURNAL,DATE,REVERSEDATE,DESCRIPTION,REFERENCE_NO,SOURCEENTITY,LINE_NO,ACCT_NO,LOCATION_ID,DEPT_ID,GLENTRY_CLASSID,GLENTRY_PROJECTID,DOCUMENT,MEMO,DEBIT,CREDIT,CURRENCY,EXCH_RATE_DATE,EXCH_RATE_TYPE_ID,EXCHANGE_RATE,GLENTRY_CUSTOMERID,GLENTRY_VENDORID,GLENTRY_EMPLOYEEID,GLENTRY_ITEMID,ALLOCATION_ID
ARB00456_EUR,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00456_EUR,,,,,558.6,,,,,,,,,
ARB00456_GBP,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00456_GBP,,,,,1493.8600000000001,,,,,,,,,
ARB00456_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00456_USD,,,,17214.19,,,,,,,,,,
ARB00460_CAD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00460_CAD,,,,,3240.0,,,,,,,,,
ARB00460_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00460_USD,,,,1854.0,,,,,,,,,,
ARB00461_CAD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00461_CAD,,,,,1532.0,,,,,,,,,
ARB00461_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00461_USD,,,,,4130.98,,,,,,,,,
ARB00469_CAD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00469_CAD,,,,14844.0,,,,,,,,,,
ARB00469_EUR,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00469_EUR,,,,,35.55,,,,,,,,,
ARB00469_GBP,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00469_GBP,,,,,8995.87,,,,,,,,,
ARB00469_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00469_USD,,,,2821.0500000000006,,,,,,,,,,
ARB00486_EUR,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00486_EUR,,,,,1.5,,,,,,,,,
ARB00486_GBP,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00486_GBP,,,,,7.8,,,,,,,,,
ARB00486_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00486_USD,,,,,9407.14,,,,,,,,,
ARB00488_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00488_USD,,,,,1222.12,,,,,,,,,
