Class_ID,COMMISSION
ARB01157_USD,-486.75
ARB01158_USD,-9132.0
ARB01166_USD,-235.2
ARB01172_USD,-603.0
ARB01176_USD,-951.0
ARB01177_USD,-12.0
ARB01195_USD,-15.3
ARB01357_EUR,-10678.949999999999
ARB01357_USD,-2435.85
ARB01400_EUR,-185.4
ARB01400_USD,-468.45
ARB01417_EUR,-95.39999999999999
ARB01417_USD,-1851.3
ARB01445_EUR,-849.9
ARB01457_USD,-55.05
ARB01458_USD,-685.65
ARB01466_USD,-62.1
ARB01472_USD,-30.0
ARB01476_USD,-158.85
ARB01602_USD,-0.6
ARB01606_USD,0.0
ARB02012_USD,-5438.400000000001
ARB02040_USD,-83.7
ARB02043_USD,-1657.2
ARB02044_USD,-1295.4
ARB02045_USD,-22.5
ARB02047_USD,-594.0
ARB02052_USD,-129.29999999999998
ARB02055_USD,-222.9
ARB02076_USD,-52617.0
ARB02102_USD,-648.3
ARB02103_USD,-1261.35
ARB02116_USD,-313.65
ARB02118_USD,-453.9
ARB02121_USD,-204.60000000000002
ARB02129_USD,-1221.3
ARB02132_USD,-133.95000000000002
ARB02135_USD,-147.3
ARB02136_USD,-207.0
ARB02145_USD,-148.8
ARB02147_USD,-1827.45
ARB02149_USD,-223.5
ARB02152_USD,-166.8
ARB02154_USD,-221.4
ARB02156_USD,-1.8
ARB02158_USD,-1319.85
ARB02167_USD,-837.6
ARB02168_USD,-7.2
ARB02173_USD,-874.65
ARB02176_USD,-6887.55
ARB02177_USD,-1088.85
ARB02179_USD,-2826.0
ARB02180_USD,-1792.95
ARB02181_USD,-4077.9
ARB02182_USD,-1365.6
ARB02183_USD,-3114.9
ARB02184_USD,-6234.75
ARB02185_USD,-39.6
ARB02187_USD,-14.1
ARB02188_USD,-74.4
ARB02190_USD,-74.1
ARB02191_USD,-63.0
ARB02196_USD,-15.0
ARB02342_EUR,-8.4
ARB02343_EUR,-539.9100000000001
ARB02343_USD,-95.25
ARB02345_EUR,-6.9
ARB02355_USD,-55.8
ARB02376_EUR,-515.7
ARB02402_USD,-94.5
ARB02416_EUR,-20.4
ARB02416_USD,-162.60000000000002
ARB02418_EUR,-96.15
ARB02418_USD,-1156.2
ARB02421_EUR,-99.0
ARB02421_USD,-82.5
ARB02429_EUR,-8.7
ARB02429_USD,-290.1
ARB02432_USD,-95.10000000000001
ARB02435_USD,-66.6
ARB02436_EUR,-336.3
ARB02436_USD,-647.25
ARB02445_USD,-760.35
ARB02447_USD,-37.5
ARB02449_EUR,-57.0
ARB02449_USD,-465.0
ARB02452_USD,-33.9
ARB02454_EUR,-41.4
ARB02454_USD,-82.65
ARB02456_EUR,-10.05
ARB02456_USD,-64.5
ARB02458_USD,-87.6
ARB02463_USD,-199.65
ARB02473_EUR,-13.35
ARB02473_USD,-455.40000000000003
ARB02476_EUR,-1111.8
ARB02476_USD,-7040.4
ARB02477_USD,-21.299999999999997
ARB02479_USD,-312.9
ARB02480_USD,-201.3
ARB02481_USD,-331.2
ARB02482_USD,-40.65
ARB02483_USD,-202.5
ARB02484_EUR,-0.3
ARB02484_USD,-762.45
ARB02485_EUR,-113.25
ARB02485_USD,-1096.05
ARB02488_USD,-624.0
ARB02491_EUR,-36.9
ARB02491_USD,-3.6
ARB02496_USD,-17.4
ARB03003_USD,-345.0
ARB03022_USD,-5074.2
ARB03032_USD,-831.45
ARB03033_USD,-549.45
ARB03035_USD,-3.75
ARB03037_USD,-202.5
ARB03038_USD,-83.1
ARB03042_USD,-1.8
ARB03043_USD,-12.6
ARB03046_USD,-28.5
ARB03052_USD,-413.85
ARB03057_USD,0.0
ARB03060_USD,-1040.7
ARB03062_USD,-733.35
ARB03064_USD,-45.45
ARB03065_USD,-9117.449999999999
ARB03072_USD,-2471.25
ARB03073_USD,-5152.2
ARB03078_USD,-31.2
ARB03079_USD,-376.2
ARB03080_USD,-147.6
ARB03084_USD,-218.4
ARB03088_USD,-16.5
ARB03090_USD,-70.2
ARB03093_USD,-60.75
ARB03096_USD,-6.6
ARB03100_USD,-43.8
ARB03102_USD,-261.75
ARB03103_USD,-1328.1
ARB03104_USD,-1259.25
ARB03105_USD,-1235.85
ARB03106_USD,-716.85
ARB03107_USD,-2693.1
ARB03108_USD,-2025.0
ARB03109_USD,-1399.05
ARB03110_USD,-34.5
ARB03112_USD,-112.94999999999999
ARB03113_USD,-111.3
ARB03115_USD,0.0
ARB03116_USD,-168.6
ARB03122_USD,-290.85
ARB03125_USD,-88.8
ARB03133_USD,-1209.0
ARB03134_USD,-69.6
ARB03135_USD,-6.0
ARB03136_USD,-4.2
ARB03139_USD,-121.5
ARB03141_USD,-1991.7
ARB03142_USD,-424.5
ARB03143_USD,-369.6
ARB03144_USD,-168.75
ARB03146_USD,-400.8
ARB03154_USD,-85.8
ARB03156_USD,-460.8
ARB03157_USD,-450.0
ARB03159_USD,-401.1
ARB03168_USD,-80.10000000000001
ARB03174_USD,-219.9
ARB03175_USD,-387.6
ARB03176_USD,-529.8
ARB03185_USD,-144.6
ARB03192_USD,-341.4
ARB03360_EUR,-2967.75
ARB03362_EUR,-544.8
ARB03362_USD,-183.9
ARB03372_USD,-214.8
ARB03373_USD,-19.2
ARB03378_USD,-147.6
ARB03400_EUR,-80.4
ARB03400_USD,-652.2
ARB03402_EUR,-42.75
ARB03402_USD,-1311.45
ARB03403_USD,-326.25
ARB03404_EUR,-10.8
ARB03404_USD,-317.7
ARB03405_EUR,-66.3
ARB03405_USD,-467.1
ARB03406_EUR,-44.1
ARB03406_USD,-657.3
ARB03407_USD,-1235.3999999999999
ARB03408_EUR,-32.099999999999994
ARB03408_USD,-2173.65
ARB03409_EUR,-55.8
ARB03409_USD,-2479.3500000000004
ARB03410_USD,-518.0999999999999
ARB03412_EUR,-3.6
ARB03412_USD,-256.05
ARB03413_USD,-250.20000000000002
ARB03422_USD,-215.7
ARB03427_USD,-17.1
ARB03433_EUR,-33.6
ARB03433_USD,-231.3
ARB03434_USD,-163.20000000000002
ARB03435_USD,-11.4
ARB03436_EUR,-3.3
ARB03436_USD,-71.1
ARB03439_USD,-331.5
ARB03441_EUR,-84.0
ARB03442_USD,-362.7
ARB03443_EUR,-6.0
ARB03443_USD,-396.3
ARB03446_EUR,-9.3
ARB03446_USD,-15.9
ARB03454_EUR,-6.0
