,Class_ID,PL_TOTAL,OPT_PREMIUM,COMMISSION,CLEARING_FEE,EXCHANG_EFE,BROKERAGE_FEE,GIVEUP_FEE,FLR_FEE,WIR_FEE,Total_Fees
88,ARB00494_GBP,-6260.0,0.0,0.0,-64.35,-27.660000000000004,0.0,0.0,0.0,0.0,-92.00999999999999
89,ARB00494_USD,-2538.2000000000116,0.0,-407.25,-969.6000000000001,-2752.88,0.0,0.0,0.0,0.0,-4129.7300000000005
90,ARB00503_CAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,ARB00503_EUR,0.0,0.0,-40.2,0.0,0.0,0.0,0.0,0.0,0.0,-40.2
92,ARB00503_GBP,400.0,0.0,0.0,-105.8,-42.44,0.0,0.0,0.0,0.0,-148.24
93,ARB00503_USD,1320.0,0.0,-30.299999999999997,-2.4,-409.4200000000001,0.0,0.0,0.0,0.0,-442.12000000000006
94,ARB00514_EUR,0.0,0.0,-13.2,0.0,0.0,0.0,0.0,0.0,0.0,-13.2
95,ARB00514_GBP,130.0,0.0,0.0,-25.52,-9.68,0.0,0.0,0.0,0.0,-35.2
96,ARB00514_USD,525.0,0.0,-36.0,-144.0,-67.2,0.0,0.0,0.0,0.0,-247.2
97,ARB00520_EUR,0.0,0.0,-19.2,0.0,0.0,0.0,0.0,0.0,0.0,-19.2
98,ARB00520_GBP,-425.0,0.0,0.0,-37.76,-15.040000000000001,0.0,0.0,0.0,0.0,-52.8
99,ARB00557_EUR,0.0,0.0,-3.6,0.0,0.0,0.0,0.0,0.0,0.0,-3.6
100,ARB00557_GBP,-210.0,0.0,0.0,-6.96,-2.64,0.0,0.0,0.0,0.0,-9.6
101,ARB00567_EUR,0.0,0.0,-6.6,0.0,0.0,0.0,0.0,0.0,0.0,-6.6
102,ARB00567_GBP,-70.0,0.0,0.0,-24.2,-10.3,0.0,0.0,0.0,0.0,-34.5
103,ARB00567_USD,-712.5500000000002,0.0,-53.1,-151.2,-284.76,0.0,0.0,0.0,0.0,-489.05999999999995
104,ARB00700_USD,0.0,0.0,1398.93,0.0,0.0,0.0,0.0,0.0,0.0,1398.93
105,ARB00754_USD,131922.37000000104,0.0,-201.9,0.0,-569.94,0.0,0.0,0.0,0.0,-771.84
106,ARB00765_USD,-2921.8100000003164,0.0,-6.75,0.0,-42.25,0.0,0.0,0.0,0.0,-49.0
107,ARB01002_USD,-4242.2300000000005,0.0,-89.7,0.0,-82.25999999999999,0.0,0.0,0.0,0.0,-171.95999999999998
108,ARB01037_USD,20662.5,0.0,-0.15,0.0,-0.4,0.0,0.0,0.0,0.0,-0.55
109,ARB01057_MXN,-153150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,ARB01057_USD,-124519.65000000224,0.0,-282.0,0.0,-781.3499999999999,0.0,-1668.0,-0.99,0.0,-2732.3399999999997
111,ARB01063_JPY,-5035000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
